"zcta","sldu22","ZIPName","pop20","afact"
"ZIP census tabulation area","State legislative district, upper (2022)","ZIP Code name","Total population (2020 Census)","zcta-to-sldu22 allocation factor"
"96779","005","Paia, HI",19,0.0064 
"96779","007","Paia, HI",2973,0.9936 
"96780","004","Papaaloa, HI (PO boxes)",548,1 
"96781","001","Papaikou, HI",1670,1 
"96782","015","Pearl City, HI",4915,0.1313 
"96782","016","Pearl City, HI",20180,0.539 
"96782","017","Pearl City, HI",204,0.0054 
"96782","019","Pearl City, HI",12138,0.3242 
"96783","001","Pepeekeo, HI",1948,0.8767 
"96783","004","Pepeekeo, HI",274,0.1233 
"96785","002","Volcano, HI (PO boxes)",3000,0.7273 
"96785","003","Volcano, HI (PO boxes)",1125,0.2727 
"96786","017","Wahiawa, HI",22089,0.5359 
"96786","023","Wahiawa, HI",19128,0.4641 
"96789","017","Mililani, HI",35408,0.6469 
"96789","018","Mililani, HI",16729,0.3057 
"96789","023","Mililani, HI",2595,0.0474 
"96790","006","Kula, HI",6,0.0007 
"96790","007","Kula, HI",9109,0.9993 
"96791","023","Waialua, HI",7987,1 
"96792","022","Waianae, HI",51965,1 
"96793","005","Wailuku, HI",29852,0.9347 
"96793","006","Wailuku, HI",2087,0.0653 
"96795","025","Waimanalo, HI",11064,1 
"96796","008","Waimea, HI (PO boxes)",2057,1 
"96797","015","Waipahu, HI",1637,0.021 
"96797","018","Waipahu, HI",37811,0.4841 
"96797","019","Waipahu, HI",38661,0.495 
"96813","011","Honolulu, HI",2889,0.1055 
"96813","012","Honolulu, HI",9772,0.357 
"96813","013","Honolulu, HI",14711,0.5374 
"96814","011","Honolulu, HI",5146,0.2069 
"96814","012","Honolulu, HI",19724,0.7931 
"96815","009","Honolulu, HI",7577,0.2632 
"96815","010","Honolulu, HI",739,0.0257 
"96815","012","Honolulu, HI",20470,0.7111 
"96816","009","Honolulu, HI",16320,0.3164 
"96816","010","Honolulu, HI",35266,0.6836 
"96817","013","Honolulu, HI",40393,0.7109 
"96817","014","Honolulu, HI",12982,0.2285 
"96817","015","Honolulu, HI",3448,0.0607 
"96818","015","Honolulu, HI",51851,1 
"96819","014","Honolulu, HI",43839,0.822 
"96819","015","Honolulu, HI",9495,0.178 
"96820","015","Honolulu, HI (PO boxes)",16,1 
"96821","009","Honolulu, HI",19727,1 
"96822","011","Honolulu, HI",41888,0.9919 
"96822","013","Honolulu, HI",343,0.0081 
"96825","009","Honolulu, HI",10206,0.3277 
"96825","025","Honolulu, HI",20941,0.6723 
"96826","010","Honolulu, HI",18925,0.6289 
"96826","011","Honolulu, HI",4749,0.1578 
"96826","012","Honolulu, HI",6418,0.2133 
"96848","011","Honolulu, HI",475,1 
"96850","012","Honolulu, HI",6,1 
"96853","015","Jbphh, HI",347,1 
"96857","023","Schofield Barracks, HI",4058,1 
"96858","014","Fort Shafter, HI",424,1 
"96860","015","Jbphh, HI",5025,1 
"96863","024","Mcbh Kaneohe Bay, HI",2458,1 
